"caseId","activity","timestamp"
"23","acquisition is posted in target company code","63586995907988"
"22","retirement is posted in source company code","63586999507988"
"23","retirement is posted in source company code","63586999507988"
"22","start 4 transition","63587003107988"
"23","start 4 transition","63587003107988"
"23","END FUNCTION","63587006707988"
"22","END FUNCTION","63587006707988"
"23","END EVENT","63587010307988"
"22","END EVENT","63587010307988"
"24","START EVENT","63587121907988"
"25","START EVENT","63587121907988"
"24","START FUNCTION","63587125507988"
"25","START FUNCTION","63587125507988"
"25","helper transition 12[{XOR}->{asset master record does not exist}]","63587129107988"
"24","helper transition 12[{XOR}->{asset master record does not exist}]","63587129107988"
"25","asset master record does not exist","63587132707988"
"24","asset master record does not exist","63587132707988"
"24","helper transition 3[{asset master record does not exist}->{XOR}]","63587136307988"
"25","helper transition 3[{asset master record does not exist}->{XOR}]","63587136307988"
"25","creation of master record for tangible assets","63587139907988"
"24","creation of master record for tangible assets","63587139907988"
"24","helper transition 19[{XOR}->{acquisition within group to be posted}]","63587143507988"
"25","helper transition 19[{XOR}->{acquisition within group to be posted}]","63587143507988"
"24","acquisition within group to be posted","63587147107988"
"25","acquisition within group to be posted","63587147107988"
"24","processing of asset acquisition","63587150707988"
"25","processing of asset acquisition","63587150707988"
"25","acquisition within group posted","63587154307988"
"24","acquisition within group posted","63587154307988"
"25","helper transition 15[{acquisition within group posted}->{XOR}]","63587157907988"
"24","helper transition 15[{acquisition within group posted}->{XOR}]","63587157907988"
"24","END FUNCTION","63587161507988"
"25","END FUNCTION","63587161507988"
"24","END EVENT","63587165107988"
"25","END EVENT","63587165107988"
"26","START EVENT","63587309107988"
"27","START EVENT","63587309107988"
"27","START FUNCTION","63587312707988"
"26","START FUNCTION","63587312707988"
"27","helper transition 12[{XOR}->{asset master record does not exist}]","63587316307988"
"26","helper transition 12[{XOR}->{asset master record does not exist}]","63587316307988"
"26","asset master record does not exist","63587319907988"
"27","asset master record does not exist","63587319907988"
"27","helper transition 3[{asset master record does not exist}->{XOR}]","63587323507988"
"26","helper transition 3[{asset master record does not exist}->{XOR}]","63587323507988"
"27","creation of master record for tangible assets","63587327107988"
"26","creation of master record for tangible assets","63587327107988"
"27","helper transition 4[{XOR}->{retirement within group to be posted}]","63587330707988"
"26","helper transition 4[{XOR}->{retirement within group to be posted}]","63587330707988"
"27","retirement within group to be posted","63587334307988"
"26","retirement within group to be posted","63587334307988"
"27","retirement","63587337907988"
"26","retirement","63587337907988"
"26","retirement from group posted","63587341507988"
"27","retirement from group posted","63587341507988"
"26","helper transition 7[{retirement from group posted}->{XOR}]","63587345107988"
"27","helper transition 7[{retirement from group posted}->{XOR}]","63587345107988"
"27","END FUNCTION","63587348707988"
"26","END FUNCTION","63587348707988"
"27","END EVENT","63587352307988"
"26","END EVENT","63587352307988"
"28","START EVENT","63587496307988"
"29","START EVENT","63587496307988"
"28","START FUNCTION","63587499907988"
"29","START FUNCTION","63587499907988"
"28","helper transition 12[{XOR}->{asset master record does not exist}]","63587503507988"
"29","helper transition 12[{XOR}->{asset master record does not exist}]","63587503507988"
"29","asset master record does not exist","63587507107988"
"28","asset master record does not exist","63587507107988"
"28","helper transition 3[{asset master record does not exist}->{XOR}]","63587510707988"
"29","helper transition 3[{asset master record does not exist}->{XOR}]","63587510707988"
"28","creation of master record for tangible assets","63587514307988"
"29","creation of master record for tangible assets","63587514307988"
"29","helper transition 17[{XOR}->{asset transfer within a client exists}]","63587517907988"
"28","helper transition 17[{XOR}->{asset transfer within a client exists}]","63587517907988"
"29","asset transfer within a client exists","63587521507988"
"28","asset transfer within a client exists","63587521507988"
"29","transfer within a client","63587525107988"
"28","transfer within a client","63587525107988"
"29","10 transition","63587528707988"
"28","10 transition","63587528707988"
"29","retirement is posted in source company code","63587532307988"
"28","retirement is posted in source company code","63587532307988"
"28","acquisition is posted in target company code","63587535907988"
"29","acquisition is posted in target company code","63587535907988"
"28","start 4 transition","63587539507988"
"29","start 4 transition","63587539507988"
"28","END FUNCTION","63587543107988"
"29","END FUNCTION","63587543107988"
"28","END EVENT","63587546707988"
"29","END EVENT","63587546707988"
"30","START EVENT","63587766307988"
"31","START EVENT","63587766307988"
"30","START FUNCTION","63587769907988"
"31","START FUNCTION","63587769907988"
"30","helper transition 12[{XOR}->{asset master record does not exist}]","63587773507988"
"31","helper transition 12[{XOR}->{asset master record does not exist}]","63587773507988"
"30","asset master record does not exist","63587777107988"
"31","asset master record does not exist","63587777107988"
"30","helper transition 3[{asset master record does not exist}->{XOR}]","63587780707988"
"31","helper transition 3[{asset master record does not exist}->{XOR}]","63587780707988"
"30","creation of master record for tangible assets","63587784307988"
"31","creation of master record for tangible assets","63587784307988"
"30","helper transition 17[{XOR}->{asset transfer within a client exists}]","63587787907988"
"31","helper transition 17[{XOR}->{asset transfer within a client exists}]","63587787907988"
"31","asset transfer within a client exists","63587791507988"
"30","asset transfer within a client exists","63587791507988"
"30","transfer within a client","63587795107988"
"31","transfer within a client","63587795107988"
"30","10 transition","63587798707988"
"31","10 transition","63587798707988"
"31","acquisition is posted in target company code","63587802307988"
"30","acquisition is posted in target company code","63587802307988"
"31","retirement is posted in source company code","63587805907988"
"30","retirement is posted in source company code","63587805907988"
"30","start 4 transition","63587809507988"
"31","start 4 transition","63587809507988"
"31","END FUNCTION","63587813107988"
"30","END FUNCTION","63587813107988"
"31","END EVENT","63587816707988"
"30","END EVENT","63587816707988"
"32","START EVENT","63587982307988"
"33","START EVENT","63587982307988"
"33","START FUNCTION","63587985907988"
"32","START FUNCTION","63587985907988"
"32","helper transition 6[{XOR}->{operating lease procedure should be used}]","63587989507988"
"33","helper transition 6[{XOR}->{operating lease procedure should be used}]","63587989507988"
"33","operating lease procedure should be used","63587993107988"
"32","operating lease procedure should be used","63587993107988"
